Shimmer_B640_Timestamp_FormattedUnix_CAL,Shimmer_B640_PPG_A13_CAL
yyyy/mm/dd hh:mm:ss.000,mV
51:17.7,1629.304029
51:17.8,1646.153846
51:17.8,1659.340659
51:17.8,1668.864469
51:17.8,1672.527473
51:17.8,1668.864469
51:17.8,1659.340659
51:17.8,1643.956044
51:17.8,1624.175824
51:17.8,1604.395604
51:17.8,1581.684982
51:17.8,1559.70696
51:17.8,1534.065934
51:17.8,1510.622711
51:17.9,1490.10989
51:17.9,1471.062271
51:17.9,1456.410256
51:17.9,1447.619048
51:17.9,1444.688645
51:17.9,1446.153846
51:17.9,1451.282051
51:17.9,1456.410256
51:17.9,1462.271062
51:17.9,1469.59707
51:17.9,1474.725275
51:17.9,1479.120879
51:17.9,1479.85348
51:18.0,1479.120879
51:18.0,1474.725275
51:18.0,1467.399267
51:18.0,1456.410256
51:18.0,1446.886447
51:18.0,1435.164835
51:18.0,1423.443223
51:18.0,1411.721612
51:18.0,1397.069597
51:18.0,1381.684982
51:18.0,1367.765568
51:18.0,1353.846154
51:18.0,1337.728938
51:18.1,1322.344322
51:18.1,1306.959707
51:18.1,1292.307692
51:18.1,1278.388278
51:18.1,1265.934066
51:18.1,1254.945055
51:18.1,1246.153846
51:18.1,1240.29304
51:18.1,1235.897436
51:18.1,1231.501832
51:18.1,1226.373626
51:18.1,1224.175824
51:18.1,1218.315018
51:18.2,1213.919414
51:18.2,1209.52381
51:18.2,1204.395604
51:18.2,1197.802198
51:18.2,1190.47619
51:18.2,1180.952381
51:18.2,1172.893773
51:18.2,1167.765568
51:18.2,1166.300366
51:18.2,1166.300366
51:18.2,1165.567766
51:18.2,1165.567766
51:18.3,1165.567766
51:18.3,1165.567766
51:18.3,1167.765568
51:18.3,1166.300366
51:18.3,1164.102564
51:18.3,1162.637363
51:18.3,1160.43956
51:18.3,1158.974359
51:18.3,1159.70696
51:18.3,1161.172161
51:18.3,1163.369963
51:18.3,1165.567766
51:18.3,1168.498168
51:18.4,1169.96337
51:18.4,1170.695971
51:18.4,1171.428571
51:18.4,1172.893773
51:18.4,1174.358974
51:18.4,1179.487179
51:18.4,1181.684982
51:18.4,1184.615385
51:18.4,1188.278388
51:18.4,1191.208791
51:18.4,1196.336996
51:18.4,1203.663004
51:18.4,1210.989011
51:18.5,1218.315018
51:18.5,1221.978022
51:18.5,1227.106227
51:18.5,1227.838828
51:18.5,1226.373626
51:18.5,1222.710623
51:18.5,1219.78022
51:18.5,1217.582418
51:18.5,1213.919414
51:18.5,1213.186813
51:18.5,1210.989011
51:18.5,1207.326007
51:18.5,1201.465201
51:18.6,1197.069597
51:18.6,1193.406593
51:18.6,1189.74359
51:18.6,1189.010989
51:18.6,1186.813187
51:18.6,1188.278388
51:18.6,1192.673993
51:18.6,1197.802198
51:18.6,1205.128205
51:18.6,1215.384615
51:18.6,1230.03663
51:18.6,1249.81685
51:18.6,1276.923077
51:18.7,1312.820513
51:18.7,1355.311355
51:18.7,1402.930403
51:18.7,1453.479853
51:18.7,1505.494505
51:18.7,1556.776557
51:18.7,1605.128205
51:18.7,1647.619048
51:18.7,1682.783883
51:18.7,1709.89011
51:18.7,1731.135531
51:18.7,1746.520147
51:18.8,1758.241758
51:18.8,1764.102564
51:18.8,1766.300366
51:18.8,1765.567766
51:18.8,1761.904762
51:18.8,1755.311355
51:18.8,1747.985348
51:18.8,1734.065934
51:18.8,1718.681319
51:18.8,1698.901099
51:18.8,1676.190476
51:18.8,1653.479853
51:18.8,1629.304029
51:18.9,1610.25641
51:18.9,1598.534799
51:18.9,1589.010989
51:18.9,1581.684982
51:18.9,1577.289377
51:18.9,1575.091575
51:18.9,1575.091575
51:18.9,1577.289377
51:18.9,1579.487179
51:18.9,1579.487179
51:18.9,1580.21978
51:18.9,1578.754579
51:18.9,1574.358974
51:19.0,1567.032967
51:19.0,1559.70696
51:19.0,1550.915751
51:19.0,1539.194139
51:19.0,1527.472527
51:19.0,1513.553114
51:19.0,1498.168498
51:19.0,1482.051282
51:19.0,1464.468864
51:19.0,1446.153846
51:19.0,1430.03663
51:19.0,1410.989011
51:19.0,1394.871795
51:19.1,1374.358974
51:19.1,1354.578755
51:19.1,1335.531136
51:19.1,1317.948718
51:19.1,1304.761905
51:19.1,1293.040293
51:19.1,1282.051282
51:19.1,1274.725275
51:19.1,1268.131868
51:19.1,1261.538462
51:19.1,1252.747253
51:19.1,1244.688645
51:19.1,1238.095238
51:19.2,1234.432234
51:19.2,1231.501832
51:19.2,1228.571429
51:19.2,1227.838828
51:19.2,1231.501832
51:19.2,1230.03663
51:19.2,1224.908425
51:19.2,1217.582418
51:19.2,1211.721612
51:19.2,1208.058608
51:19.2,1205.128205
51:19.2,1205.860806
